iter	RMSE
383	19.38280035
384	19.36376502
385	19.31150792
386	19.27692503
387	19.23267502
388	19.23222552
389	19.23124165
390	19.20600848
391	19.15438172
392	19.13894317
393	19.13712574
394	19.13680846
395	19.13518948
396	19.13463396
397	19.13332686
398	19.12164775
399	19.07302655
400	19.07201595
401	19.05990041
402	19.05890411
403	19.00854044
404	18.98818042
405	18.97727878
406	18.97724333
407	18.97602554
408	18.97027411
409	18.97003827
410	18.95852294
411	18.94428318
412	18.9435152
413	18.94279247
414	18.9311042
415	18.93037033
416	18.93033035
417	18.90980696
418	18.8654385
419	18.86080642
420	18.84447494
421	18.82874387
422	18.80157421
423	18.76710379
424	18.76694606
425	18.73296589
426	18.73272257
427	18.73249452
428	18.73141526
429	18.72949543
430	18.71907928
431	18.70301702
432	18.70165187
433	18.69344359
434	18.69343909
435	18.68094388
436	18.68090066
437	18.67881176
438	18.66679782
439	18.64390327
440	18.61420687
441	18.61284605
442	18.56397312
443	18.56170614
444	18.54963721
445	18.5496091
446	18.54950574
447	18.5487332
448	18.54185781
449	18.540684
450	18.54058512
451	18.49234524
452	18.48441071
453	18.46013655
454	18.45786958
455	18.45775294
456	18.40253762
457	18.40116571
458	18.38249089
459	18.35786026
460	18.34161831
461	18.34034731
462	18.33692637
463	18.31838346
464	18.31445884
465	18.31078873
466	18.29793387
467	18.2968731
468	18.27973233
469	18.27922443
470	18.2654947
471	18.26454071
472	18.25353583
473	18.20693453
474	18.15792683
475	18.14422953
476	18.14352594
477	18.12184793
478	18.1205049
479	18.059139
480	18.05734143
481	18.04729781
482	18.04530985
483	18.01635388
484	17.97969155
485	17.94732942
486	17.94683273
487	17.90913312
488	17.90015928
489	17.88027832
490	17.8679675
491	17.85789367
492	17.85712417
493	17.85669656
494	17.85451311
495	17.83863692
496	17.83794485
497	17.83720845
498	17.83633056
499	17.83632867
