iter	RMSE
0	42.05101277
1	41.08446988
2	40.28416287
3	39.45587083
4	38.6566717
5	37.94900904
6	37.31094432
7	36.64392419
8	36.02567184
9	35.45099826
10	34.88744396
11	34.42576763
12	33.94722008
13	33.51551422
14	33.11905246
15	32.72091227
16	32.35138144
17	32.01460726
18	31.69382039
19	31.3989443
20	31.09400786
21	30.79945615
22	30.55965024
23	30.331972
24	30.10104306
25	29.89961452
26	29.71059955
27	29.51734657
28	29.32127126
29	29.17855465
30	28.98989282
31	28.87484244
32	28.70619586
33	28.57792846
34	28.45138244
35	28.3321189
36	28.25498399
37	28.12182646
38	28.00454321
39	27.89894352
40	27.7800812
41	27.68180922
42	27.57287535
43	27.47798071
44	27.38760302
45	27.22064787
46	27.17180493
47	27.05715207
48	26.97072627
49	26.93060841
50	26.83541813
51	26.71708965
52	26.65292033
53	26.58256453
54	26.4826725
55	26.38487443
56	26.29527722
57	26.24487494
58	26.19701968
59	26.10675844
60	26.07952745
61	26.03229085
62	25.95841306
63	25.92730429
64	25.83129209
65	25.77343688
66	25.69523606
67	25.56997459
68	25.52347534
69	25.47062144
70	25.39649788
71	25.34849673
72	25.28613168
73	25.18245583
74	25.02585988
75	24.99824536
76	24.98028825
77	24.94530616
78	24.86317104
79	24.83000465
80	24.82733701
81	24.79402636
82	24.763108
83	24.73870446
84	24.71190842
85	24.69653002
86	24.67867505
87	24.6220639
88	24.60173349
89	24.56731049
90	24.54448714
91	24.51237303
92	24.47511148
93	24.39304933
94	24.34141963
95	24.3162097
96	24.30152356
97	24.23532925
98	24.19350087
99	24.17754788
100	24.11380473
101	24.10076231
102	24.02912013
103	24.02032856
104	24.0094463
105	23.98939318
106	23.94625587
107	23.94002081
108	23.90730721
109	23.88468974
110	23.84063918
111	23.82763499
112	23.80785825
113	23.79153074
114	23.74841505
115	23.74410867
116	23.71838018
117	23.69513875
118	23.63557786
119	23.61400786
120	23.52968603
121	23.52459035
122	23.50718748
123	23.49917406
124	23.48080042
125	23.42161078
126	23.41317656
127	23.41068586
128	23.40462289
129	23.37341517
130	23.3622215
131	23.35398549
132	23.34901425
133	23.32441908
134	23.29174132
135	23.25608304
136	23.22645427
137	23.19240641
138	23.15234651
139	23.09149924
140	23.07209896
141	23.04983165
142	23.03329028
143	23.03193058
144	23.01699131
145	23.01569497
146	22.9850612
147	22.98452702
148	22.95933627
149	22.91823567
150	22.91542695
151	22.91429368
152	22.91333798
153	22.87171497
154	22.83144083
155	22.77797358
156	22.7769339
157	22.77622721
158	22.77572653
159	22.77144153
160	22.76054372
161	22.75948329
162	22.75885218
163	22.7585078
164	22.75799195
165	22.75738297
166	22.75723072
167	22.75662024
168	22.73977535
169	22.73939961
170	22.73641567
171	22.7323948
172	22.68127179
173	22.68123397
174	22.66860639
175	22.66710388
176	22.64383965
177	22.5863394
178	22.58043719
179	22.54865344
180	22.54861764
181	22.52928067
182	22.48760049
183	22.45364574
184	22.45360005
185	22.44438918
186	22.44395454
187	22.42434506
188	22.42394903
189	22.42365726
190	22.42362051
191	22.42345774
192	22.40137006
193	22.4012244
194	22.37248807
195	22.37245875
196	22.33274005
197	22.28967297
198	22.28857277
199	22.2245965
200	22.22447844
201	22.22426125
202	22.19703333
203	22.19681813
204	22.19668098
205	22.17694766
206	22.11486779
207	22.1059449
208	22.10579121
209	22.09391193
210	22.06976078
211	22.05268715
212	22.01423052
213	22.00207477
214	21.95073657
215	21.9506247
216	21.94093439
217	21.93816921
218	21.93803964
219	21.92564068
220	21.91258535
221	21.91236966
222	21.82058779
223	21.81375441
224	21.8136403
225	21.79204129
226	21.79195177
227	21.79186764
228	21.72274826
229	21.70553185
230	21.70549311
231	21.68791946
232	21.62564981
233	21.59814227
234	21.59127043
235	21.5768771
236	21.57680071
237	21.55089322
238	21.53134684
239	21.49785017
240	21.4516253
241	21.43250633
242	21.3666785
243	21.36638646
244	21.36626366
245	21.36614243
246	21.3659787
247	21.33576926
248	21.32098967
249	21.32063389
250	21.32052345
251	21.25716336
252	21.18950024
253	21.16593103
254	21.16580706
255	21.16571091
256	21.12215229
257	21.10031177
258	21.09929703
259	21.09660012
260	21.09114785
261	21.09111914
262	21.05607071
263	21.05563217
264	20.99400111
265	20.91630124
266	20.903396
267	20.90289231
268	20.90288909
269	20.88671131
270	20.84116708
271	20.83771195
272	20.82569164
273	20.77780796
274	20.75421449
275	20.75313988
276	20.74791513
277	20.74499823
278	20.74499012
279	20.74285934
280	20.74285285
281	20.74189361
282	20.71532599
283	20.70153177
284	20.7015204
285	20.68170151
286	20.68168931
287	20.68167792
288	20.68157464
289	20.67377416
290	20.66557032
291	20.62245271
292	20.62232466
293	20.58393382
294	20.56142835
295	20.56098008
296	20.55426473
297	20.54644867
298	20.5319086
299	20.52708639
300	20.52285475
301	20.49082699
302	20.48298508
303	20.47865809
304	20.47730126
305	20.46867766
306	20.46481037
307	20.41855984
308	20.39304897
309	20.32566364
310	20.30998836
311	20.29274615
312	20.27647142
313	20.2761869
314	20.2738119
315	20.27256995
316	20.27227376
317	20.27009661
318	20.27004101
319	20.26688023
320	20.23552453
321	20.23517212
322	20.23497512
323	20.2156548
324	20.21453991
325	20.21015462
326	20.20191403
327	20.14955854
328	20.14341075
329	20.13370522
330	20.08913048
331	20.08819276
332	20.08801359
333	20.07736986
334	20.07706995
335	20.07691246
336	20.07677675
337	20.07483812
338	20.04324744
339	20.0383068
340	20.03808269
341	20.01134971
342	20.01054283
343	19.98954416
344	19.98678082
345	19.98073278
346	19.97904244
347	19.97743867
348	19.97610841
349	19.96871797
350	19.96849308
351	19.96008362
352	19.95793056
353	19.95595257
354	19.95408059
355	19.91498768
356	19.91438213
357	19.88217107
358	19.80041188
359	19.78229194
360	19.78162536
361	19.77992735
362	19.76950315
363	19.76891697
364	19.72107371
365	19.71942422
366	19.70095831
367	19.69122005
368	19.69071268
369	19.69029499
370	19.63240118
371	19.63212018
372	19.56313525
373	19.5615868
374	19.56122396
375	19.52719444
376	19.45707338
377	19.4569904
378	19.45693161
379	19.45570841
380	19.43124627
381	19.41256168
382	19.38393532
