Model,R2,Adj_R2,RMSE,NRMSE_pct,MAE,MBE,NSE,KGE,PBIAS_pct,IOA,RMSE_STD,SLOOCV_R2,Training_Time_s,OA,Kappa,F1_macro,Moran_I_residuals,Moran_I_pvalue
Stacking Ensemble,0.6216366290855408,0.6122778177908369,27.73703569830465,13.270830099133038,18.171612437383914,0.8839338844072864,0.6216366290855408,0.6829534911958284,-2.0800239026397533,0.8690057969900511,0.6151124863912771,,133.21024680137634,0.45611015490533563,0.34557146116117254,0.4755521097934688,0.14682419855198742,0.20279013396959789
XGBoost,0.6143806284996285,0.6048423401586299,28.001733866964557,13.39747537089335,18.507953556878242,1.1897751777121568,0.6143806284996285,0.6734837013117527,-2.7997125713403035,0.8654303484883551,0.6209825855049169,0.5031046837307236,2.782855987548828,0.4457831325301205,0.33301008602894244,0.4652431025272991,0.12342061092235046,0.2832792443197534
CatBoost,0.6032678647830014,0.5934547024278106,28.402344596838585,13.589148229877804,18.420787642031545,0.6053067559179015,0.6032678647830014,0.6808130686781655,-1.4243740883208793,0.8629687258794669,0.6298667598921208,,8.208770036697388,0.46471600688468157,0.3557518148237945,0.4841316552769215,0.15215539239866036,0.18705153114726114
Gradient Boosting,0.5977605135045525,0.5878111269127924,28.598802807971058,13.683143982339486,19.03354549651608,1.949403659788159,0.5977605135045525,0.6917982064588508,-4.587227936138794,0.8651590143320487,0.6342235303861309,,15.038109540939331,0.4423407917383821,0.32913995317194167,0.4588369891399477,0.10779777849317901,0.34771387011240296
Random Forest,0.577454342042695,0.567002682658592,29.311788888913792,14.024273338992982,19.469419140153704,0.9102089818088174,0.577454342042695,0.6133872888312686,-2.141852995972926,0.8401967348032933,0.6500351205568089,0.513932415727073,3.3161065578460693,0.39070567986230637,0.26607907507850415,0.4024644578476937,0.16771862578731708,0.1462821221259316
ANN-Residual,0.552974957784936,0.5419178012637154,30.14889705687598,14.424789111206584,19.270561752561072,-7.600640751517501,0.552974957784936,0.5951428918978291,17.885403781228618,0.8385849261008897,0.6685993136513558,,126.47125029563904,0.4113597246127367,0.2908135040312937,0.4315803604607161,0.13239942356533507,0.25015805468692953
CNN-LSTM-Attention,0.48201791366396374,0.4692056359100689,32.45359952744942,15.52747777803848,21.73071859060581,-5.21809753386384,0.48201791366396374,0.583931609359736,12.278936002119917,0.8087548550939067,0.71970972366367,,230.85489058494568,0.35628227194492257,0.2244568728295434,0.3748796835587789,0.14509971638530103,0.20808200863693527
Transformer,0.22138187299315548,0.20212276737814516,39.78943365218445,19.037319614191553,25.427581330657933,-12.41686939988625,0.22138187299315548,0.3684085635067095,29.21868434202841,0.6980159500659483,0.8823934082974807,,399.25284075737,0.25301204819277107,0.09985506522065069,0.25435581082976294,0.26457707361624555,0.02241582144818688
