Feature,Group,Source,Resolution,Unit,Min,Max,Mean,Std,Skewness
R_Factor,RUSLE factor,CHIRPS/SoilGrids/DEM/Sentinel-2/LULC,30 m,dimensionless,88.50932638396878,195.67260685282844,127.44279675404383,27.79578384699979,0.6366528266128124
K_Factor,RUSLE factor,CHIRPS/SoilGrids/DEM/Sentinel-2/LULC,30 m,dimensionless,0.026977034173905817,0.036113615594804194,0.030350097298729915,0.002022688133643392,0.6570298181507287
LS_Factor,RUSLE factor,CHIRPS/SoilGrids/DEM/Sentinel-2/LULC,30 m,dimensionless,0.09369726917044185,43.82366909822985,17.358649947809898,14.469697652843971,0.694432753226758
C_Factor,RUSLE factor,CHIRPS/SoilGrids/DEM/Sentinel-2/LULC,30 m,dimensionless,0.10699867181479927,0.8097987622022625,0.5589277691042872,0.15530373291295482,-0.7765300895749793
P_Factor,RUSLE factor,CHIRPS/SoilGrids/DEM/Sentinel-2/LULC,30 m,dimensionless,0.12,1.0,0.9655754651964162,0.16683561478992104,-4.657132072206021
A_RUSLE,Target,C1 RUSLE baseline,30 m,t/ha/yr,0.06063274674928333,139.58442326627247,36.49277684647053,34.32056783533065,1.1234245618253813
Elevation,Topographic,SRTM 30 m DEM,30 m,varies,591.8227185058594,2367.4304150390617,1556.805850242862,388.7644995346224,-0.44623126169152116
Slope,Topographic,SRTM 30 m DEM,30 m,varies,0.7116928449513769,44.2634225997259,16.003293139403784,10.395829592372435,0.5297434886397073
Curvature_Plan,Topographic,SRTM 30 m DEM,30 m,varies,-10.546328348523529,2.9178963417004327,-0.7113521130015472,1.950301244887375,-2.4955444033590877
Curvature_Profile,Topographic,SRTM 30 m DEM,30 m,varies,-1.1165690073619772,0.5580387387644127,-0.07912299826966204,0.2688219020544667,-1.2929001340940205
TWI,Topographic,SRTM 30 m DEM,30 m,varies,3.9415278631579698,18.415248830813724,7.553517716590125,3.148255862378621,1.5717151156536158
SPI,Topographic,SRTM 30 m DEM,30 m,varies,-0.14769885686201428,12.327486983634266,4.481898771519714,2.5919008844124956,1.0744808188386383
TPI,Topographic,SRTM 30 m DEM,30 m,varies,-6.7559810384163415,4.1617889404300765,-0.7623052878495375,1.9976734078676093,-0.6169737450479243
TRI,Topographic,SRTM 30 m DEM,30 m,varies,1.1500408883096107,71.61871136599014,23.50061808735648,14.947789371918981,0.7728419579140998
Flow_Accumulation,Topographic,SRTM 30 m DEM,30 m,varies,1.0,151142.27999999674,3232.624879393488,17977.336325369568,7.091378378471873
Valley_Depth,Topographic,SRTM 30 m DEM,30 m,varies,0.0,61.243381699199496,11.642388098440378,14.51981457647233,1.4005454448420573
NDVI,Remote sensing index,Sentinel-2 L2A,10->30 m,dimensionless,0.09541945785284042,0.5277382850646968,0.22910831115682892,0.08917012140852376,1.0636668138174785
NDWI,Remote sensing index,Sentinel-2 L2A,10->30 m,dimensionless,-0.5528457206475156,-0.15504121072164911,-0.3368606471646931,0.07779036416573815,-0.1589377712600206
NDBI,Remote sensing index,Sentinel-2 L2A,10->30 m,dimensionless,-0.0863619874090392,0.20527452056405335,0.10318022812210045,0.061915307678714254,-0.8225424829997496
EVI,Remote sensing index,Sentinel-2 L2A,10->30 m,dimensionless,0.05129047196617414,0.31458757567829865,0.14156281188071834,0.05265928117872893,0.8674003383138016
BSI,Remote sensing index,Sentinel-2 L2A,10->30 m,dimensionless,-0.012731443793170065,0.2624453884467738,0.1716045824994263,0.05448850250585721,-0.9464773885120881
SAVI,Remote sensing index,Sentinel-2 L2A,10->30 m,dimensionless,0.052210779221710635,0.31175821473492443,0.14767443325181293,0.05202921048577474,0.7018304195298352
MSAVI,Remote sensing index,Sentinel-2 L2A,10->30 m,dimensionless,0.04653559269509319,0.27814419711135363,0.13404969005007272,0.046808020571574994,0.6824037692888727
Albedo,Remote sensing index,Sentinel-2 L2A,10->30 m,dimensionless,0.12885728779497513,0.33612069725821275,0.22278570648010895,0.04455222287516728,0.21061674796072527
Annual_Rainfall,Climate,CHIRPS/ERA5,~5 km->30 m,mm or %,370.21122773005203,695.0187651731043,496.1883147151617,88.53166978735099,0.6408003021243674
Rainfall_Seasonality,Climate,CHIRPS/ERA5,~5 km->30 m,mm or %,76.66326209268387,99.14885001588623,87.35576508567881,4.74095589091963,0.19215422722223954
Max_Monthly_Rain,Climate,CHIRPS/ERA5,~5 km->30 m,mm or %,91.9573174433338,215.42802857804585,136.47568947943202,27.808744933729873,0.7004409956084197
Clay_Content,Soil,SoilGrids 250 m,250 m->30 m,% or g/kg or kg/dm3,19.7799161605835,29.05201356506345,23.40309257425825,1.8822609236930197,0.4874629713310782
Sand_Content,Soil,SoilGrids 250 m,250 m->30 m,% or g/kg or kg/dm3,28.940540679931647,51.61848422241211,43.755076060068355,4.065763237226381,-0.6722542297124732
SOC,Soil,SoilGrids 250 m,250 m->30 m,% or g/kg or kg/dm3,9.337717292785646,33.5369038696289,19.367022376188654,5.048549696357361,0.48194691745296037
Bulk_Density,Soil,SoilGrids 250 m,250 m->30 m,% or g/kg or kg/dm3,1.2999999999999998,1.46,1.3794958263702313,0.0346095786430822,0.13408078633485104
Soil_Loss,Target,C1 RUSLE baseline,30 m,t/ha/yr,1.91117570218008e-17,220.76888375293169,42.32600523531522,45.36319376781373,1.5485491642753582
