Model,Fold1,Fold2,Fold3,Fold4,Fold5,Mean_R2,Std_R2,CV_R2_standard,Difference
Random Forest,0.579838866630829,0.5299784602205301,0.4021645897584212,0.5863167400848308,0.44539513857656865,0.5087387590542359,0.07334188593175342,0.5670515108964868,0.05831275184225082
XGBoost,0.5667565521617368,0.5573978075092385,0.4220947497088807,0.5751235521802295,0.4789818921736618,0.5200709107467494,0.0598185176079574,0.5730209996091676,0.052950088862418254
Gradient Boosting,0.5688433447680776,0.5522027520521018,0.4065568551786072,0.555147697750485,0.48216117412604775,0.5129823647750639,0.061176691729379014,0.5709621088782372,0.0579797441031733
CatBoost,0.5030125194534388,0.5398707708447744,0.4261356092371149,0.5950128110079389,0.4876535239027804,0.5103370468892094,0.05603623631131377,0.5760862299663421,0.06574918307713262
Stacking Ensemble,-0.13269771010776377,0.5530773450608513,0.4399665742821829,0.5939588716037212,0.49079650709355493,0.38902031758650935,0.26610454089679136,0.5750467584519091,0.18602644086539977
