Configuration,R2,Delta_R2
Full stack (RF+XGB+GB+CatBoost),0.6216366290855408,0.0
Without RF,0.6194307001842727,-0.0022059289012681393
Without XGB,0.6197292278024066,-0.001907401283134269
Without GB,0.6206912069059466,-0.0009454221795942575
Without CB,0.6227297060894121,0.00109307700387129
